date,n_stocks,n_days,pc1,pc1_5,lambda_max,mp_upper,n_signif,eff_rank
2007-08-31,100,252,0.3481902762051084,0.483423482186921,34.81902762051084,2.656706973522821,3,7.609744268666006
2007-09-28,100,252,0.3650559133891737,0.4949980512888199,36.505591338917384,2.656706973522821,3,7.008805783488112
2007-10-31,100,252,0.3727736341425044,0.4970712962021623,37.277363414250445,2.656706973522821,3,6.761870438644739
2007-11-30,100,252,0.4038330459220343,0.5256167295060413,40.38330459220341,2.656706973522821,3,5.843676163402878
2007-12-31,100,251,0.416840825844805,0.5383906316013132,41.6840825844805,2.6607951806975985,3,5.505195489038103
2008-01-31,100,253,0.4217065651229293,0.5525212202924062,42.170656512292936,2.65264614391991,3,5.3667030344149484
2008-02-29,100,254,0.4160243669342204,0.5573865606814021,41.60243669342204,2.6486123976778924,3,5.474812743801259
2008-03-31,100,251,0.4285711431133171,0.5695771635251708,42.85711431133173,2.6607951806975985,3,5.174293102623202
2008-04-30,100,254,0.4183654912361406,0.5669052850243124,41.83654912361406,2.6486123976778924,4,5.39469897350644
2008-05-30,100,254,0.4122344399172313,0.5690812431922105,41.22344399172312,2.6486123976778924,4,5.507671619608664
2008-06-30,100,252,0.409321072554513,0.5790958259121437,40.93210725545131,2.656706973522821,4,5.519065391769983
2008-07-31,100,254,0.3882357233919199,0.5614391165886161,38.823572339191976,2.6486123976778924,4,6.063747499181163
2008-08-29,100,254,0.3780355467468949,0.566921122140152,37.80355467468949,2.6486123976778924,4,6.262721307782912
2008-09-30,100,253,0.433812109917659,0.6000165198789956,43.381210991765904,2.65264614391991,3,4.9830018113934695
2008-10-31,100,254,0.5444596034384808,0.6815681786884314,54.44596034384807,2.6486123976778924,3,3.288773001105493
2008-11-28,100,254,0.5681693369715981,0.6987195331611983,56.8169336971598,2.6486123976778924,3,3.0327736349872167
2008-12-31,100,254,0.5755017646043225,0.6963325296089083,57.55017646043228,2.6486123976778924,3,2.964752845776683
2009-01-30,100,254,0.5732149026765098,0.6925582304460555,57.32149026765097,2.6486123976778924,3,2.9891052583750386
2009-02-27,100,254,0.5688014904928489,0.6890791453488538,56.88014904928491,2.6486123976778924,3,3.033361044836407
2009-03-31,100,254,0.5760576957844888,0.6945594827217415,57.60576957844887,2.6486123976778924,3,2.960567644160037
2009-04-30,100,253,0.5736751072879439,0.6951593361221495,57.36751072879439,2.65264614391991,3,2.983708054635808
2009-05-29,100,253,0.5703377596228824,0.6963831040259661,57.03377596228825,2.65264614391991,3,3.015177134883472
2009-06-30,100,253,0.5712132853589352,0.6943089893826319,57.121328535893504,2.65264614391991,3,3.0082381213589584
2009-07-31,100,253,0.5819888464117956,0.7013028200207049,58.19888464117954,2.65264614391991,3,2.9029586279692765
2009-08-31,100,252,0.5783966552622564,0.6971671686184717,57.839665526225616,2.656706973522821,3,2.937456343799825
2009-09-30,100,253,0.5716143645716354,0.690360590748611,57.16143645716353,2.65264614391991,3,3.0052743247670857
2009-10-30,100,253,0.5321107995933382,0.6540212688512784,53.21107995933383,2.65264614391991,3,3.451655457871506
2009-11-30,100,252,0.4828079024714099,0.6161471368638117,48.280790247141,2.656706973522821,3,4.148446872203942
